ObjectNum,diameter,scoped,occ,DDLat,DDLong,Time,Northing,Easting,NEAR_DIST,Site,Horz_Veg,Burn
43,36,y,y,31.293774,-84.455574,6/6/2015 7:49,3467316.885,171033.125,17.53510264,1yr_rough,12.926,pre-burn
44,36,y,y,31.293999,-84.455322,6/6/2015 7:54,3467341.111,171057.901,6.690897364,1yr_rough,9.58245,pre-burn
45,53,y,y,31.293781,-84.455249,6/6/2015 7:56,3467316.698,171064.143,17.72210264,1yr_rough,8.5567,pre-burn
46,27,y,n,31.290512,-84.461625,6/5/2015 6:25,3466973.192,170445.425,11.22860263,2yr_rough,44.045,pre-burn
47,34,y,y,31.290566,-84.462015,6/5/2015 6:30,3466980.353,170408.43,4.066902634,2yr_rough,39.727,pre-burn
48,33,y,y,31.290482,-84.462677,6/5/2015 6:56,3466972.965,170345.062,11.45520263,2yr_rough,15.1311,pre-burn
49,32,y,n,31.290433,-84.463192,6/5/2015 7:02,3466969.129,170295.814,15.29120263,2yr_rough,26.9349,pre-burn
50,35,y,y,31.291834,-84.46072,6/5/2015 7:27,3467117.129,170536.168,7.291002635,2yr_rough,25.2963,pre-burn
51,43,y,n,31.291855,-84.461302,6/5/2015 7:32,3467121.224,170480.83,3.196702635,2yr_rough,25.3682,pre-burn
52,7,y,y,31.292479,-84.463591,6/5/2015 8:23,3467197.195,170265.017,2.774797363,2yr_rough,6.40013,pre-burn
53,38,y,y,31.292438,-84.463346,6/5/2015 8:30,3467191.932,170288.192,2.488802638,2yr_rough,6.49331,pre-burn
54,33,y,y,31.292439,-84.463146,6/5/2015 8:36,3467191.416,170307.269,3.004502637,2yr_rough,17.7858,pre-burn
55,16,y,n,31.292467,-84.46256,6/5/2015 8:45,3467192.795,170363.102,1.625802638,2yr_rough,37.9971,pre-burn
56,38,y,n,31.292734,-84.461042,6/5/2015 8:54,3467217.865,170508.633,23.44409736,2yr_rough,37.654,pre-burn
57,38,y,y,31.292627,-84.460934,6/5/2015 8:58,3467205.711,170518.613,11.29089736,2yr_rough,43.1921,pre-burn
58,31,y,y,31.293037,-84.46295,6/5/2015 10:07,3467257.168,170327.997,7.252302634,2yr_rough,29.2019,pre-burn
59,51,y,n,31.293081,-84.462425,6/5/2015 10:14,3467260.519,170378.162,3.901002634,2yr_rough,22.5297,pre-burn
60,30,y,y,31.293181,-84.46085,6/5/2015 10:23,3467266.948,170528.516,2.527097367,2yr_rough,12.0486,pre-burn
61,30,y,y,31.293211,-84.460396,6/5/2015 10:29,3467268.855,170571.879,4.434397366,2yr_rough,16.2008,pre-burn
62,36,y,n,31.293216,-84.459883,6/5/2015 10:59,3467267.903,170620.792,3.482297366,2yr_rough,15.9349,pre-burn
63,43,y,y,31.293487,-84.45521,6/6/2015 8:01,3467283.98,171066.822,20.8049575,1yr_rough,12.8818,pre-burn
64,39,y,n,31.29319,-84.455342,6/6/2015 8:05,3467251.382,171053.202,11.89621893,1yr_rough,17.1894,pre-burn
65,26,y,n,31.26396,-84.468817,6/4/2015 6:02,3464049.401,169667.607,4.981297368,Joseph_Road,37.8386,pre-burn
66,0,n,n,31.263892,-84.468413,6/4/2015 6:09,3464040.729,169705.874,3.690802632,Joseph_Road,51.8201,pre-burn
67,36,y,n,31.263315,-84.468524,6/4/2015 7:40,3463976.982,169693.28,2.562197365,Joseph_Road,28.2239,pre-burn
68,0,n,n,31.263272,-84.468126,6/4/2015 7:44,3463971.087,169731.036,3.332702635,Joseph_Road,11.8001,pre-burn
69,0,n,n,31.263366,-84.464899,6/4/2015 8:07,3463971.869,170038.888,2.550902635,Joseph_Road,25.9736,pre-burn
70,29,y,n,31.262725,-84.466434,6/4/2015 8:36,3463905.338,169890.381,0.917997366,Joseph_Road,23.0167,pre-burn
71,35,y,n,31.261163,-84.46549,6/4/2015 12:14,3463729.215,169974.852,0.205102634,Joseph_Road,22.8745,pre-burn
72,37,y,y,31.260763,-84.466594,6/4/2015 12:26,3463688.162,169868.317,6.257702636,Joseph_Road,25.5838,pre-burn
73,37,y,n,31.260754,-84.466404,6/4/2015 12:29,3463686.566,169886.318,7.853802636,Joseph_Road,8.79611,pre-burn
74,36,y,y,31.26084,-84.466418,6/4/2015 12:31,3463696.126,169885.344,1.706497364,Joseph_Road,8.9565,pre-burn
